Model,Best Params,MSE,MAE,R^2,Category,min_reviews
RandomForest,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}",0.0315278765993791,0.134780172297068,0.333434076212845,"('clean', 'review_scores_cleanliness')",10
GradientBoosting,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",0.0308631584851365,0.132665823784509,0.347487621572347,"('clean', 'review_scores_cleanliness')",10
Ridge,"{'alpha': 0.0001, 'solver': 'auto'}",0.0136095143693788,0.0781132071843169,0.354191733648844,"('checkin', 'review_scores_checkin')",10
RandomForest,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 300}",0.0139408904765455,0.0764059264422549,0.33846704109398,"('checkin', 'review_scores_checkin')",10
GradientBoosting,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",0.0136536541467866,0.0752145629136223,0.352097181826411,"('checkin', 'review_scores_checkin')",10
Ridge,"{'alpha': 0.0001, 'solver': 'saga'}",0.00904626266513969,0.0659039235676597,0.422048638207467,"('communication', 'review_scores_communication')",10
RandomForest,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 300}",0.00955648190574968,0.0656536856647533,0.389451540838226,"('communication', 'review_scores_communication')",10
GradientBoosting,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.00940569700126972,0.0656315845385985,0.399084949032062,"('communication', 'review_scores_communication')",10
Ridge,"{'alpha': 0.1, 'solver': 'sag'}",0.0255182880196648,0.125031008025855,0.0965151907441825,"('location', 'review_scores_location')",10
RandomForest,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 300}",0.0263791920901514,0.125817757599531,0.0660345507689719,"('location', 'review_scores_location')",10
GradientBoosting,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",0.0254026863033724,0.125091121986776,0.100608114004301,"('location', 'review_scores_location')",10
Ridge,"{'alpha': 0.1, 'solver': 'svd'}",0.0298697375851792,0.128743839289686,0.311641135126971,"('value', 'review_scores_value')",10
RandomForest,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",0.0272935227934982,0.121266859948832,0.371010933224913,"('value', 'review_scores_value')",10
GradientBoosting,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.0266876789138905,0.121152697884887,0.38497282371919,"('value', 'review_scores_value')",10
Ridge,"{'alpha': 0.01, 'solver': 'saga'}",0.0132943483542734,0.0831631808126112,0.627607359317065,"('overall', 'review_scores_rating')",20
RandomForest,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",0.0136444680193362,0.0842274090620834,0.617800034944836,"('overall', 'review_scores_rating')",20
GradientBoosting,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",0.0128351164679563,0.0842471937405038,0.64047106427455,"('overall', 'review_scores_rating')",20
Ridge,"{'alpha': 0.0001, 'solver': 'auto'}",0.0116125290663253,0.075292607978665,0.480403528862593,"('accurate', 'review_scores_accuracy')",20
RandomForest,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",0.0122573256502714,0.0753782619227492,0.451552446750652,"('accurate', 'review_scores_accuracy')",20
